brain,condition,label,area_name,area_mm2,pixel_count
D079_3L,control,121,Rostrolateral visual area,1.28235600727,4763
D079_3L,control,123,Posterolateral visual area,0.466842970445,1914
D079_3L,control,125,Infralimbic area,0.90641848443,1929
D079_3L,control,134,"Anterior cingulate area, ventral part",2.6028372012,10746
D079_3L,control,159,posteromedial visual area,0.0169120871923,62
D079_3L,control,161,Temporal association areas,1.75579096709,7861
D079_3L,control,185,Visceral area,1.67316292182,7075
D079_3L,control,198,"Orbital area, lateral part",3.13809619198,15217
D079_3L,control,205,"Orbital area, ventrolateral part",2.2061860871,5797
D079_3L,control,243,"Retrosplenial area, dorsal part",5.41129177933,27514
D079_3L,control,246,"Retrosplenial area, ventral part",6.52054571982,34553
D079_3L,control,248,"Retrosplenial area, lateral agranular part",2.5001478017,10131
D079_3L,control,249,Ectorhinal area,1.12033971408,5040
D079_3L,control,259,Perirhinal area,0.451265936156,2126
D079_3L,control,280,Prelimbic area,1.49749261186,7461
D079_3L,control,284,Primary motor area,5.56282410675,23485
D079_3L,control,288,Secondary motor area,10.0052528457,43887
D077_2L,enucleated,5,Primary auditory area,1.91256584114,7343
D077_2L,enucleated,9,Dorsal auditory area,1.80194077224,6665
D077_2L,enucleated,12,Ventral auditory area,2.14476372591,8886
D077_2L,enucleated,15,Posterior auditory area,1.02962501895,4170
D077_2L,enucleated,20,"Agranular insular area, dorsal part",2.78745294574,11460
D077_2L,enucleated,25,Gustatory areas,1.06120717724,4642
D077_2L,enucleated,39,"Agranular insular area, posterior part",2.70409094969,12839
D077_2L,enucleated,44,"Agranular insular area, ventral part",1.64358833475,6840
D077_2L,enucleated,59,"Primary somatosensory area, unassigned",0.115745116836,493
D077_2L,enucleated,78,Anterior area,1.32333943866,5022
D077_2L,enucleated,79,Laterointermediate area,0.00213692959556,10
D077_2L,enucleated,80,Postrhinal area,1.50937998875,8249
D077_2L,enucleated,87,"Primary somatosensory area, barrel field",6.69586901087,25939
D077_2L,enucleated,90,"Primary somatosensory area, lower limb",1.16313433767,4799
D077_2L,enucleated,93,"Primary somatosensory area, mouth",4.41315447047,18385
D077_2L,enucleated,100,"Primary somatosensory area, trunk",1.25814148183,4928
D077_2L,enucleated,103,"Primary somatosensory area, upper limb",1.67190868913,7269
D077_2L,enucleated,106,Supplemental somatosensory area,5.28065603937,20128
D077_2L,enucleated,110,Primary visual area,6.4117480692,25717
D077_2L,enucleated,112,"Anterior cingulate area, dorsal part",2.35975358116,9626
D077_2L,enucleated,113,Anteromedial visual area,0.219586314152,834
D077_2L,enucleated,117,Anterolateral visual area,0.570359844159,2123
D077_2L,enucleated,120,Lateral visual area,1.15829731477,4973
D077_2L,enucleated,121,Rostrolateral visual area,0.663119846777,2467
D077_2L,enucleated,123,Posterolateral visual area,0.870071381265,3108
D077_2L,enucleated,125,Infralimbic area,0.682863414998,1544
D077_2L,enucleated,134,"Anterior cingulate area, ventral part",1.79849909069,7309
D077_2L,enucleated,159,posteromedial visual area,0.575976369981,2151
D077_2L,enucleated,161,Temporal association areas,2.29206072879,10331
D077_2L,enucleated,185,Visceral area,1.10750387611,4477
D077_2L,enucleated,198,"Orbital area, lateral part",2.43893156903,11446
D077_2L,enucleated,201,"Orbital area, medial part",1.43905369997,2837
D077_2L,enucleated,205,"Orbital area, ventrolateral part",1.51219130534,5616
D077_2L,enucleated,243,"Retrosplenial area, dorsal part",5.02360522695,26659
D077_2L,enucleated,246,"Retrosplenial area, ventral part",6.24770576667,32423
D077_2L,enucleated,248,"Retrosplenial area, lateral agranular part",3.43123804022,15076
D077_2L,enucleated,249,Ectorhinal area,1.49913467043,6775
D077_2L,enucleated,259,Perirhinal area,0.694441162072,3387
D077_2L,enucleated,280,Prelimbic area,2.8384789091,15644
D077_2L,enucleated,284,Primary motor area,5.08011646341,21252
D077_2L,enucleated,288,Secondary motor area,9.77151413393,41903
D078_2L,enucleated,5,Primary auditory area,2.33857982424,9064
D078_2L,enucleated,9,Dorsal auditory area,0.883759885424,3290
D078_2L,enucleated,12,Ventral auditory area,1.32020001767,5584
D078_2L,enucleated,20,"Agranular insular area, dorsal part",2.50421777146,10589
D078_2L,enucleated,25,Gustatory areas,0.519932251417,2302
D078_2L,enucleated,39,"Agranular insular area, posterior part",1.81948908631,8956
D078_2L,enucleated,44,"Agranular insular area, ventral part",1.23161061957,4824
D078_2L,enucleated,59,"Primary somatosensory area, unassigned",0.0117615206936,48
D078_2L,enucleated,78,Anterior area,1.15993843147,4382
D078_2L,enucleated,79,Laterointermediate area,0.0576657779769,260
D078_2L,enucleated,80,Postrhinal area,1.70441480199,9257
D078_2L,enucleated,87,"Primary somatosensory area, barrel field",4.04563032163,15193
D078_2L,enucleated,90,"Primary somatosensory area, lower limb",1.04849239877,4261
D078_2L,enucleated,93,"Primary somatosensory area, mouth",1.57806800326,6341
D078_2L,enucleated,97,"Primary somatosensory area, nose",5.45082012511,21306
D078_2L,enucleated,100,"Primary somatosensory area, trunk",0.542907711823,2073
D078_2L,enucleated,103,"Primary somatosensory area, upper limb",1.75329329147,7243
D078_2L,enucleated,106,Supplemental somatosensory area,5.45589704098,21509
D078_2L,enucleated,110,Primary visual area,6.4998352256,26463
D078_2L,enucleated,112,"Anterior cingulate area, dorsal part",4.0182107806,17528
D078_2L,enucleated,113,Anteromedial visual area,0.77723148133,2940
D078_2L,enucleated,117,Anterolateral visual area,0.576166040247,2172
D078_2L,enucleated,120,Lateral visual area,1.55068635742,6641
D078_2L,enucleated,121,Rostrolateral visual area,1.14277752389,4238
D078_2L,enucleated,123,Posterolateral visual area,0.583384247139,2042
D078_2L,enucleated,125,Infralimbic area,2.2801422821,7121
D078_2L,enucleated,134,"Anterior cingulate area, ventral part",2.10579389535,8719
D078_2L,enucleated,159,posteromedial visual area,0.0842127717537,309
D078_2L,enucleated,161,Temporal association areas,2.41444974794,10866
D078_2L,enucleated,185,Visceral area,1.45191085093,6075
D078_2L,enucleated,198,"Orbital area, lateral part",3.24264827455,15020
D078_2L,enucleated,201,"Orbital area, medial part",0.0450031494143,280
D078_2L,enucleated,205,"Orbital area, ventrolateral part",1.76172880407,5449
D078_2L,enucleated,243,"Retrosplenial area, dorsal part",4.91060641667,25063
D078_2L,enucleated,246,"Retrosplenial area, ventral part",6.52058060377,34573
D078_2L,enucleated,248,"Retrosplenial area, lateral agranular part",2.4915217651,10420
D078_2L,enucleated,249,Ectorhinal area,0.937226987618,4181
D078_2L,enucleated,259,Perirhinal area,0.545464456158,2701
D078_2L,enucleated,280,Prelimbic area,2.54335581449,11679
D078_2L,enucleated,284,Primary motor area,6.43469279286,27592
D078_2L,enucleated,288,Secondary motor area,10.8606418978,47191
D079_4L,enucleated,5,Primary auditory area,1.82050823018,7082
D079_4L,enucleated,9,Dorsal auditory area,0.699537555869,2538
D079_4L,enucleated,12,Ventral auditory area,0.946362013353,4051
D079_4L,enucleated,15,Posterior auditory area,0.613969578511,2504
D079_4L,enucleated,20,"Agranular insular area, dorsal part",2.52691744555,10442
D079_4L,enucleated,25,Gustatory areas,1.18920577553,5230
D079_4L,enucleated,39,"Agranular insular area, posterior part",1.85471440293,9134
D079_4L,enucleated,44,"Agranular insular area, ventral part",1.56178343614,6361
D079_4L,enucleated,59,"Primary somatosensory area, unassigned",0.0503972247772,210
D079_4L,enucleated,78,Anterior area,0.97549123764,3705
D079_4L,enucleated,79,Laterointermediate area,0.0619925175414,280
D079_4L,enucleated,80,Postrhinal area,1.61997984058,8725
D079_4L,enucleated,87,"Primary somatosensory area, barrel field",4.78492020352,18178
D079_4L,enucleated,90,"Primary somatosensory area, lower limb",0.768038231595,3140
D079_4L,enucleated,93,"Primary somatosensory area, mouth",3.21891437218,13360
D079_4L,enucleated,97,"Primary somatosensory area, nose",3.30053760205,13103
D079_4L,enucleated,100,"Primary somatosensory area, trunk",1.06320638308,4105
D079_4L,enucleated,103,"Primary somatosensory area, upper limb",2.02371724902,8601
D079_4L,enucleated,106,Supplemental somatosensory area,5.83695261851,22436
D079_4L,enucleated,110,Primary visual area,7.19754912909,29159
D079_4L,enucleated,112,"Anterior cingulate area, dorsal part",4.12351482346,18470
D079_4L,enucleated,113,Anteromedial visual area,0.517490814123,1969
D079_4L,enucleated,117,Anterolateral visual area,1.32501706781,5035
D079_4L,enucleated,120,Lateral visual area,1.20631924659,5343
D079_4L,enucleated,121,Rostrolateral visual area,1.05064289238,3891
D079_4L,enucleated,123,Posterolateral visual area,0.924997177684,3728
D079_4L,enucleated,125,Infralimbic area,0.753941676965,1540
D079_4L,enucleated,134,"Anterior cingulate area, ventral part",2.16412414008,8852
D079_4L,enucleated,159,posteromedial visual area,0.69623623556,2576
D079_4L,enucleated,161,Temporal association areas,1.99043459469,8893
D079_4L,enucleated,185,Visceral area,1.51012657432,6256
D079_4L,enucleated,198,"Orbital area, lateral part",4.00940180488,20182
D079_4L,enucleated,201,"Orbital area, medial part",1.64828343071,4120
D079_4L,enucleated,205,"Orbital area, ventrolateral part",0.76817976216,1925
D079_4L,enucleated,243,"Retrosplenial area, dorsal part",4.55513569,23670
D079_4L,enucleated,246,"Retrosplenial area, ventral part",6.79545535615,35825
