label,cell_type,mean_attention,sem,count
posteromedial visual area,ENT ML,0.0397468435613,0.00203831448953,158
Laterointermediate area,L5 IT,0.0397056438704,0.000429265445695,4449
posteromedial visual area,Car3,0.0396812936995,0.00165662797941,225
Posterolateral visual area,L6 IT,0.0396684157221,0.000305654928705,5776
Primary auditory area,TR,0.0395739822213,0.00126715276687,109
Postrhinal area,ENT L6b,0.0395054868904,0.0002983400435,5349
Gustatory areas,L6b/CT,0.0394585847855,0.0211708528913,5
Ventral auditory area,L2/3 IT,0.0393828623883,0.00015212959892,23271
"Retrosplenial area, lateral agranular part",NP PPP/RSP,0.0393416533148,0.000934753493898,1035
Anterior area,PPP,0.0392565727234,0.00357484817505,2
Supplemental somatosensory area,AON,0.0389723777771,0.0,1
Primary visual area,L6b,0.0389012082714,0.000285815687016,12027
"Retrosplenial area, ventral part",EPd,0.0388708114624,0.00539021076761,16
posteromedial visual area,RSP/ACA UL,0.0387853420511,0.000962818548127,1127
Rostrolateral visual area,L5 IT,0.0387415852785,0.000420636068096,4937
"Retrosplenial area, dorsal part",BLA/BMA/PA,0.03868825554,0.00210251891165,141
Perirhinal area,ENT UL,0.0386752125753,0.000320171973143,2009
Ectorhinal area,Car3,0.0386542601331,0.000740972271646,1131
Laterointermediate area,RSP/ACA UL,0.0384863575674,0.00406616831442,53
Temporal association areas,EPd,0.0384434368731,0.000751625084781,1380
Postrhinal area,EPd,0.0384393925468,0.00100732269311,600
"Retrosplenial area, lateral agranular part",Car3,0.0384250860661,0.00157415914556,256
Primary auditory area,HIP CA3,0.0384187862791,0.00193951377465,29
"Retrosplenial area, dorsal part",RSP/ACA UL,0.0384052465737,0.000214169515341,13214
Anterior area,L2/3 IT,0.038281856499,0.00102077704121,1096
Laterointermediate area,Unclear,0.0382378578186,0.00528409997315,5
"Retrosplenial area, lateral agranular part",NA,0.0380952351825,0.000252155262061,37274
Gustatory areas,L2/3 IT,0.0380471402949,0.00842166082366,11
"Agranular insular area, posterior part",L6b,0.0380264520645,0.0208410024643,2
"Retrosplenial area, ventral part",L6 CT,0.037947845948,0.000448152371723,2584
"Retrosplenial area, lateral agranular part",L6b,0.0379156960434,0.000610402883222,2147
posteromedial visual area,L5 IT,0.0377822132318,0.000275268521023,9431
Rostrolateral visual area,EPd,0.0377329938552,0.00604708409643,34
Rostrolateral visual area,COA,0.0377045472463,0.000778628614969,6
Rostrolateral visual area,Car3,0.0376998037358,0.00210019153309,577
Posterior auditory area,L4/5 IT,0.0375609310552,0.000257367781108,14878
"Retrosplenial area, lateral agranular part",Low quality,0.0375310784973,0.00055045908251,4971
Anterior area,L4/5 IT,0.0373592333238,0.00128578202558,665
Anterolateral visual area,L5 IT,0.0372554016261,0.000313460817699,9727
"Primary somatosensory area, barrel field",EPd,0.03724437356,0.00845742050788,20
Temporal association areas,L5 IT,0.0372048615992,0.000392446283483,5361
Perirhinal area,ENT ML,0.0370606377253,0.000229273620774,4972
Supplemental somatosensory area,L6b/CT,0.036939183871,0.0022268173218,36
"Anterior cingulate area, ventral part",L6b/CT,0.0369356870651,0.0139991044998,2
Rostrolateral visual area,L4/5 IT,0.0369283072096,0.000216972469629,19878
Posterolateral visual area,L5 IT,0.0368425734352,0.000347891220607,3547
"Retrosplenial area, dorsal part",EPd,0.0367969234542,0.00179926984552,328
Rostrolateral visual area,L2/3 IT,0.0367331404942,0.000199368144303,22313
Ectorhinal area,L5 IT,0.036669784348,0.00047470043251,1810
"Retrosplenial area, dorsal part",ENT L6b,0.0366566508255,0.00102287771067,277
Lateral visual area,EPd,0.0366150327806,0.00179597740536,239
Ectorhinal area,RSP/ACA UL,0.0365244261054,0.00155396731143,86
Posterolateral visual area,PPP,0.0364614046352,0.000156012494509,7833
Primary visual area,L6 IT,0.03643409799,0.000114110709975,65033
posteromedial visual area,L2/3 IT,0.0363570668728,0.000238262109186,17833
Laterointermediate area,AON,0.036315651167,0.00404418897394,21
"Retrosplenial area, dorsal part",L5 ET,0.036295417307,0.000209371414759,17688
Anterior area,L6 IT,0.0362643673248,0.00204669247968,291
Posterolateral visual area,EPd,0.03618210018,0.00187842316048,189
Primary auditory area,L6b/CT,0.0361230022192,0.000429216573409,2074
Primary auditory area,L6b,0.0359903221812,0.000355589706798,4730
"Agranular insular area, posterior part",L4/5 IT,0.035910782218,0.00382436968275,25
