label,cell_type,mean_loss_increase,sem,n_groups,mean_n_dropped,error_rate_increase
Ectorhinal area,L5 ET,0.305261133714,0.0985304377494,50,3.36,0.02
"Anterior cingulate area, dorsal part",L5 ET,0.303842875846,0.0788666484222,110,4.27272727273,0.127272727273
Primary visual area,L6 CT,0.299794586189,0.046956117574,396,6.76515151515,0.0328282828283
"Primary somatosensory area, upper limb",L4/5 IT,0.299642410607,0.0909085026634,300,9.06,0.0633333333333
Anterolateral visual area,L5 ET,0.298908871409,0.0938548658103,76,2.15789473684,0.0526315789474
Secondary motor area,L5 IT,0.298556134594,0.0440846135422,287,4.5331010453,0.0836236933798
"Agranular insular area, posterior part",EPd,0.297319465129,0.05953595904,127,3.31496062992,0.0629921259843
Primary motor area,L5 IT,0.297266691622,0.0449800163796,452,4.58849557522,0.0597345132743
Primary motor area,Car3,0.296253503364,0.152960734472,29,5.65517241379,0.103448275862
corpus callosum,RSP/ACA UL,0.294950485229,0.0,1,6.0,0.0
Posterior auditory area,L4/5 IT,0.287815610753,0.281802749693,67,9.02985074627,0.0149253731343
Dorsal auditory area,L6b,0.287781375665,0.086308396611,41,2.82926829268,-0.0487804878049
Secondary motor area,L6 CT,0.285828132499,0.0429486582089,379,6.05013192612,0.0395778364116
"Agranular insular area, dorsal part",L4/5 IT,0.282550731744,0.134051670845,60,4.93333333333,0.0833333333333
Ventral auditory area,Low quality,0.280879792447,0.225276585707,9,1.44444444444,0.0
posteromedial visual area,NP,0.280180335641,0.0657860939536,50,1.54,0.0
"Primary somatosensory area, upper limb",L2/3 IT,0.276666892877,0.092107123225,296,9.01013513514,0.0506756756757
Posterior auditory area,L5 ET,0.272214312927,0.109067017108,59,2.47457627119,-0.0338983050847
Anterolateral visual area,L5 IT,0.271437672434,0.113330485765,96,3.25,0.0833333333333
"Primary somatosensory area, lower limb",L6 IT,0.268971778457,0.0651504960152,276,3.42753623188,0.0652173913043
Anterior area,L6b,0.268319385604,0.118003283048,37,2.56756756757,-0.027027027027
"Agranular insular area, ventral part",Car3,0.26763397838,0.1418378887,41,6.17073170732,0.121951219512
"Primary somatosensory area, nose",PPP,0.265937328339,0.0,1,1.0,0.0
Postrhinal area,HIP CA1,0.265510559082,0.358121871948,2,1.5,0.0
"Agranular insular area, posterior part",ENT L6b,0.264235052798,0.118210403775,9,1.33333333333,0.111111111111
Primary auditory area,HIP CA3,0.264047993114,0.155612459027,4,2.0,0.5
"Primary somatosensory area, upper limb",AON,0.262955432758,0.135708119711,4,1.25,0.0
"Primary somatosensory area, lower limb",L5 IT,0.261969260553,0.0663828907641,232,3.28017241379,0.0431034482759
Postrhinal area,L6b/CT,0.252353024804,0.115037243131,32,2.40625,0.0625
Rostrolateral visual area,NA,0.251715915536,0.0775085844679,136,5.54411764706,0.0294117647059
Primary visual area,L4/5 IT,0.250760555053,0.0374667065635,603,8.81260364842,0.0845771144279
Ventral auditory area,ENT L6b,0.250237709765,0.181124002168,6,1.0,0.0
Supplemental somatosensory area,NA,0.248229665223,0.021152484177,1035,6.34106280193,0.0173913043478
"Primary somatosensory area, upper limb",ENT ML,0.247082792222,0.0598056623014,5,1.0,0.2
"Primary somatosensory area, nose",L6 IT,0.245139405679,0.0827497296675,244,3.30737704918,0.016393442623
Anterior area,PIR UL,0.244032719173,0.186338081258,14,1.0,0.0
"Agranular insular area, dorsal part",L5 ET,0.243444599007,0.0748918291789,73,3.09589041096,0.0684931506849
Supplemental somatosensory area,ENT DL,0.243078351021,0.29920432186,5,1.0,0.0
Ventral auditory area,L6b,0.24236332118,0.0748555398498,74,2.41891891892,0.0405405405405
Posterolateral visual area,L5 ET,0.241784743711,0.162068210258,14,3.64285714286,0.0714285714286
"Primary somatosensory area, nose",Unclear,0.240814050039,0.182054440218,3,1.0,0.0
"Agranular insular area, dorsal part",ENT DL,0.239391633153,0.0892585780243,64,2.90625,0.03125
posteromedial visual area,NA,0.235267539597,0.0751004363406,126,5.83333333333,0.0
Dorsal auditory area,PG,0.23007106781,0.0,1,1.0,0.0
"Primary somatosensory area, upper limb",L6b,0.229019404903,0.0619293627274,116,2.63793103448,0.00862068965517
Postrhinal area,TR,0.227203243723,0.232049476467,3,1.33333333333,0.0
Dorsal auditory area,L6 IT,0.226069616869,0.126632838493,99,3.80808080808,0.020202020202
"Retrosplenial area, ventral part",NP PPP/RSP,0.225838624962,0.0404693702867,167,3.32335329341,0.0538922155689
Posterior auditory area,NP PPP/RSP,0.220743179321,0.0,1,1.0,0.0
Primary motor area,L6 IT,0.220242577904,0.0284821130851,555,4.22522522523,0.0612612612613
Cortical subplate,ENT ML,0.219737648964,0.134023308754,2,1.0,0.0
Primary motor area,L6 CT,0.217630649941,0.0286086228492,540,5.65740740741,0.062962962963
"Agranular insular area, ventral part",RSP/ACA ML,0.216681957245,0.155636310577,2,3.0,0.0
"Primary somatosensory area, barrel field",EPd,0.215991809592,0.132057502338,5,1.0,0.0
Posterior auditory area,L6b,0.211740877317,0.0866892532535,23,1.91304347826,0.0434782608696
Dorsal auditory area,NP PPP/RSP,0.210614641507,0.132804180219,3,2.0,0.0
"Primary somatosensory area, trunk",PIR UL,0.209647880202,0.103469426041,14,1.07142857143,0.142857142857
Laterointermediate area,ENT ML,0.209407329559,0.539645195007,2,1.0,0.0
"Agranular insular area, ventral part",NA,0.209179794025,0.0669068606941,50,5.32,0.06
Visceral area,ENT ML,0.207548792474,0.0961150364502,4,1.0,0.0
Gustatory areas,RSP/ACA ML,0.206091329455,0.153786927247,4,1.25,0.0
Primary motor area,L4/5 IT,0.206033130426,0.0358604469357,334,5.9880239521,0.0718562874251
Ventral auditory area,HIP CA3,0.205643415451,0.0329811573029,2,1.0,0.0
Posterior auditory area,NP,0.201954895959,0.0499814058237,34,1.58823529412,0.0
Posterolateral visual area,ENT ML,0.199563623881,0.308878984963,12,3.0,0.0
"Agranular insular area, ventral part",ENT DL,0.199466918774,0.140593557026,26,2.65384615385,0.0
"Primary somatosensory area, trunk",ENT ML,0.197845730465,0.147914904957,8,1.0,0.0
posteromedial visual area,Low quality,0.197420817282,0.214883154699,9,2.33333333333,0.0
"Primary somatosensory area, unassigned",NP PPP/RSP,0.197016716003,0.0,1,1.0,0.0
Lateral visual area,EPd,0.195478270451,0.165163538533,3,1.0,0.0
Gustatory areas,L6 IT,0.194661027662,0.0902716188225,138,4.05072463768,0.0289855072464
"Agranular insular area, posterior part",BLAa,0.192410390203,0.0670759341524,6,2.16666666667,0.166666666667
"Agranular insular area, ventral part",L6b,0.190997218248,0.119725734975,8,3.25,0.125
Primary auditory area,Unclear,0.189099639654,0.06289473176,2,1.0,0.0
"Retrosplenial area, lateral agranular part",BLA/BMA/PA,0.188433025564,0.14902956631,7,1.0,0.0
"Retrosplenial area, lateral agranular part",L5 ET,0.188333149024,0.0802770868308,203,4.17733990148,0.0295566502463
Visceral area,Car3,0.187957765379,0.0928702913988,120,4.41666666667,0.05
Dorsal auditory area,DGpo,0.186985969543,0.12833404541,2,1.0,0.0
Ventral auditory area,L6b/CT,0.185713604631,0.0461846696821,69,2.24637681159,0.0434782608696
Posterolateral visual area,COA,0.184259670709,0.100692399246,3,1.0,0.0
Anteromedial visual area,L6 IT,0.184092424688,0.139970296836,84,3.5,0.0238095238095
Rostrolateral visual area,L6b/CT,0.183571100235,0.0,1,1.0,0.0
Ectorhinal area,LA,0.182125270367,0.365129768848,2,1.0,0.0
"Primary somatosensory area, trunk",L5 ET,0.181595596551,0.194020338967,63,4.74603174603,0.031746031746
"Agranular insular area, ventral part",L4/5 IT,0.181417757391,0.242879463785,33,3.60606060606,0.0606060606061
"Retrosplenial area, lateral agranular part",ENT L6b,0.180389255285,0.376026074679,5,1.0,0.2
Visceral area,PIR UL,0.180152510162,0.0827903635269,12,1.0,0.0
Postrhinal area,NA,0.178881575193,0.0628314605311,130,6.46923076923,0.0307692307692
Cortical subplate,TR,0.178502082825,0.196276155992,3,1.0,0.0
Lateral visual area,L6b/CT,0.177800886865,0.119681234547,14,1.14285714286,0.0
"Retrosplenial area, dorsal part",BLA/BMA/PA,0.17686483264,0.151804008061,4,1.0,0.0
Laterointermediate area,PG,0.176257928212,0.0382560660898,3,1.0,0.0
"Retrosplenial area, ventral part",TR,0.176052808762,0.0621643066406,2,1.0,0.0
Anterior area,Low quality,0.176052379422,0.128678286328,11,1.18181818182,0.0
"Primary somatosensory area, nose",Car3,0.175008930059,0.102515225875,18,1.22222222222,0.111111111111
Gustatory areas,PIR UL,0.17402368784,0.148249804974,2,1.0,0.0
Postrhinal area,NP PPP/RSP,0.170556734394,0.171260900712,3,1.66666666667,0.0
Rostrolateral visual area,L5 ET,0.170194240017,0.127278497055,79,2.43037974684,0.0126582278481
posteromedial visual area,NP PPP/RSP,0.169910271962,0.117758792664,3,1.0,0.0
Visceral area,L6 IT,0.169601720312,0.103257412823,117,3.66666666667,0.0512820512821
Primary auditory area,L5 ET,0.168401488259,0.0967886985284,121,2.19008264463,0.0330578512397
Lateral visual area,RSP/ACA ML,0.166870117188,0.0,1,1.0,0.0
"Agranular insular area, dorsal part",HIP CA1,0.166850686073,0.0,1,1.0,0.0
"Primary somatosensory area, lower limb",PG,0.164755254984,0.075447024889,5,1.0,0.0
Temporal association areas,ENT L6b,0.163860947698,0.0937474058131,22,1.81818181818,0.0454545454545
"Primary somatosensory area, upper limb",L5 ET,0.163377709911,0.108478947468,170,2.75294117647,0.0176470588235
Dorsal auditory area,EPd,0.162959456444,0.342228531837,2,1.0,0.0
"Primary somatosensory area, lower limb",L6 CT,0.161487827181,0.0540108892954,261,5.13026819923,0.0268199233716
Visceral area,L5 IT,0.161225935188,0.0664295118329,60,2.21666666667,0.0333333333333
Postrhinal area,NP,0.160441767038,0.0850326352488,33,1.93939393939,0.0
"Agranular insular area, posterior part",NP PPP/RSP,0.159567475319,0.0,1,1.0,0.0
corpus callosum,NP,0.15943145752,0.176297187805,2,5.0,0.0
"Primary somatosensory area, barrel field",L6 CT,0.158196507347,0.0361781255112,607,5.09719934102,0.0362438220758
"Primary somatosensory area, barrel field",RSP/ACA ML,0.157682901621,0.107702714411,5,1.0,0.0
"Agranular insular area, posterior part",L6 IT,0.155402487895,0.0697472229289,130,3.11538461538,0.0153846153846
Gustatory areas,NA,0.154952661246,0.0607767489354,161,6.42857142857,0.0
Posterior auditory area,L6 IT,0.154144970666,0.114442841674,55,4.01818181818,0.0
Secondary motor area,RSP/ACA ML,0.153379577693,0.110580362649,62,3.64516129032,0.0
Anterior area,ENT ML,0.153180906316,0.135727788718,8,1.0,0.0
"Agranular insular area, dorsal part",L6 IT,0.152867957399,0.0816500672242,98,4.21428571429,0.0
Postrhinal area,L6b,0.151476676772,0.0654987154871,49,2.79591836735,0.0612244897959
Ventral auditory area,COA,0.150262594223,0.0,1,1.0,0.0
Posterior auditory area,L5 IT,0.148977925249,0.12978370375,57,2.24561403509,0.0175438596491
"Primary somatosensory area, unassigned",L2/3 IT,0.148901930251,0.231682921153,103,10.1747572816,-0.0485436893204
Posterolateral visual area,PPP,0.147325036667,0.0494787137299,17,8.35294117647,0.0
"Primary somatosensory area, barrel field",Car3,0.146387047233,0.0559076265457,144,1.74305555556,0.0138888888889
