label,cell_type,mean_attention,sem,count
Gustatory areas,L2/3 IT,0.0406108156256,0.00113821346997,582
Visceral area,BLAa,0.040590763092,0.0243615372684,4
posteromedial visual area,Car3,0.0404416799545,0.0100024000818,5
Supplemental somatosensory area,L5 ET,0.0403820944212,0.00132325987245,487
Posterolateral visual area,L6 IT,0.0400184942328,0.00195171431353,115
Secondary motor area,L4/5 IT,0.0400151650832,0.000508492990983,1267
Primary visual area,COA,0.0399344989232,0.011356717589,7
"Primary somatosensory area, trunk",ENT DL,0.0399265289307,0.0,1
Rostrolateral visual area,L6 IT,0.0399127788508,0.00195584713445,335
Dorsal auditory area,L4/5 IT,0.0398549960828,0.00102771940774,1098
Primary visual area,RSP/ACA ML,0.0398426737104,0.0095802004599,14
"Retrosplenial area, lateral agranular part",NP PPP/RSP,0.0398080674085,0.00627232435264,22
Rostrolateral visual area,L5 IT,0.0397596500195,0.00203212710893,277
Anterolateral visual area,L6b/CT,0.0397444963455,0.00881382989392,9
posteromedial visual area,L6 IT,0.0396691672394,0.00211061701454,339
Temporal association areas,ENT L6b,0.0396132367723,0.00379491716724,47
Prelimbic area,ENT DL,0.039529800415,0.0,1
Primary visual area,EPd,0.039508711208,0.00805705427063,11
"Agranular insular area, dorsal part",AON,0.0394630432129,0.0,1
Primary motor area,ENT DL,0.0394589175349,0.00282888993796,46
"Agranular insular area, ventral part",L4/5 IT,0.0394516137181,0.0027025436972,49
Dorsal auditory area,AON,0.0393543243408,0.0,1
"Primary somatosensory area, barrel field",L5 ET,0.0392516034621,0.00096505291458,837
Anterior area,ENT ML,0.0391689538956,0.0109579450949,6
Secondary motor area,RSP/ACA ML,0.0391321297988,0.00153434009625,103
Gustatory areas,L5 ET,0.0391284171492,0.00193948132184,160
"Anterior cingulate area, ventral part",L6b,0.0391188973472,0.00324124290793,63
"Primary somatosensory area, trunk",ENT ML,0.0390758514404,0.00548279371698,6
Laterointermediate area,L5 IT,0.0390185336523,0.00223297499836,158
"Agranular insular area, ventral part",ENT DL,0.0389971208572,0.00285417734833,50
Primary visual area,PPP,0.0389355818431,0.0170396873524,6
"Anterior cingulate area, dorsal part",L2/3 IT,0.038846736526,0.000650502385013,759
Primary visual area,L6b,0.0388395249421,0.00199751263402,282
"Anterior cingulate area, dorsal part",RSP/ACA UL,0.0387031637853,0.00102076118985,248
Primary auditory area,L6b/CT,0.0386980889273,0.00289524041168,61
"Primary somatosensory area, upper limb",L4/5 IT,0.0386942426394,0.000626833825142,3227
"Primary somatosensory area, mouth",L5 IT,0.038690399228,0.00101986083376,792
posteromedial visual area,PPP,0.0386390686035,0.0157415421689,3
Anteromedial visual area,L5 IT,0.0386356483407,0.00118990661541,434
"Retrosplenial area, ventral part",HIP CA3,0.0385873317719,0.007090659735,5
Primary visual area,PIR UL,0.0385611790877,0.00507707075827,39
posteromedial visual area,L5 IT,0.0385338864393,0.00133253835743,360
"Primary somatosensory area, trunk",L4/5 IT,0.0384680574809,0.000782983985979,994
Anterolateral visual area,L5 IT,0.0384329865087,0.00197405113479,309
Anteromedial visual area,L2/3 IT,0.0384277482166,0.00125141510151,571
"Primary somatosensory area, upper limb",L6 CT,0.0384204141165,0.000850014025982,2010
"Anterior cingulate area, ventral part",L5 IT,0.03836614745,0.00130162065249,147
"Primary somatosensory area, barrel field",L4/5 IT,0.0383557881631,0.00033448794824,7394
posteromedial visual area,HIP CA1,0.0383410453796,0.0,1
Visceral area,NP PPP/RSP,0.0383014678955,0.0,1
Ventral auditory area,L2/3 IT,0.0382653956115,0.000737811760351,1200
Infralimbic area,ENT DL,0.0381505489349,0.00599707925247,4
"Agranular insular area, ventral part",L6 IT,0.0381440839906,0.00225100972723,69
"Anterior cingulate area, ventral part",BLA/BMA/PA,0.03812011966,0.00415882045126,27
"Primary somatosensory area, nose",L4/5 IT,0.0380693962154,0.000501760502155,3113
"Agranular insular area, dorsal part",L6 IT,0.0379706347068,0.00102798208414,598
"Primary somatosensory area, nose",L6 CT,0.0379445890334,0.000733017279061,1502
Anteromedial visual area,RSP/ACA ML,0.0379382748353,0.00557609543051,19
Primary motor area,L2/3 IT,0.0379096746765,0.00029719993713,5204
Anterolateral visual area,L6b,0.0378900558139,0.00408688044373,78
Prelimbic area,L5 ET,0.0378274917603,0.0,1
Rostrolateral visual area,L4/5 IT,0.0378236828451,0.00104995833934,969
Ectorhinal area,COA,0.03775873551,0.00580539144194,13
Cortical subplate,TR,0.0377371311188,0.0163590908051,2
Supplemental somatosensory area,RSP/ACA ML,0.037730050087,0.0172805678306,5
"Agranular insular area, posterior part",PIR UL,0.0376708399166,0.0133577927096,11
Primary visual area,HIP SUB,0.03759765625,0.0,1
Ventral auditory area,PIR UL,0.0375361075768,0.00987967151588,13
Posterior auditory area,L5 IT,0.0374259259074,0.0023227790778,156
Temporal association areas,L6 CT,0.0373783238818,0.00239815015787,178
Perirhinal area,ENT ML,0.0373499227125,0.00161045598182,86
"Primary somatosensory area, barrel field",L6 IT,0.0373096102877,0.000729711184874,1962
Ectorhinal area,ENT ML,0.0372969377531,0.00152800094604,146
Posterolateral visual area,PG,0.0372830629349,0.0256609141328,3
"Agranular insular area, posterior part",L6 IT,0.0372442058155,0.00295068152846,175
"Retrosplenial area, dorsal part",ENT L6b,0.0371877806527,0.0031520203985,7
"Primary somatosensory area, lower limb",L6b/CT,0.0371180971464,0.0103563139802,6
Lateral visual area,RSP/ACA UL,0.0370798707008,0.017079188539,4
"Primary somatosensory area, trunk",L6 IT,0.037057974158,0.00128647583688,449
Gustatory areas,L4/5 IT,0.0370005333832,0.000611668408467,1315
Cortical subplate,ENT DL,0.0369911988576,0.00567465948291,9
"Primary somatosensory area, lower limb",Unclear,0.0369899347425,0.0258395866809,4
Gustatory areas,L6 IT,0.0369053745511,0.00123308706394,495
Supplemental somatosensory area,TT,0.0368876457214,0.0,1
Supplemental somatosensory area,L6 CT,0.0368199264329,0.000501213908764,2720
"Retrosplenial area, lateral agranular part",RSP/ACA UL,0.0368146187051,0.000779192282229,1484
Postrhinal area,PPP,0.0368049262,0.00179673591613,61
Supplemental somatosensory area,PG,0.0368002951145,0.00984052177832,8
"Primary somatosensory area, trunk",RSP/ACA ML,0.03679728508,0.00970768928528,2
"Orbital area, lateral part",NA,0.0367578322237,0.00875595605669,11
Primary visual area,L6 IT,0.0367266591559,0.000724289812831,1645
Supplemental somatosensory area,L4/5 IT,0.0366395239947,0.000346723923125,5789
Posterior auditory area,L4/5 IT,0.0366258067591,0.0016386989996,418
posteromedial visual area,L6b,0.0365981770323,0.0044704685788,47
Postrhinal area,EPd,0.0365020554999,0.00544504201489,23
Temporal association areas,L5 IT,0.0364958966365,0.00173653398622,183
"Agranular insular area, dorsal part",Low quality,0.0364868436287,0.00338069131984,67
"Primary somatosensory area, lower limb",L4/5 IT,0.0364760375869,0.000586539213276,1804
"Orbital area, ventrolateral part",L2/3 IT,0.0364685058594,0.00202802589604,47
Primary auditory area,EPd,0.0364452530356,0.00430786917125,34
"Retrosplenial area, ventral part",ENT L6b,0.0364201545715,0.00709948643292,5
Primary motor area,AON,0.0362695242677,0.00830844237534,14
"Agranular insular area, dorsal part",L5 IT,0.0362645780917,0.00204384784855,97
"Primary somatosensory area, trunk",L6b/CT,0.0361295700073,0.00678791624904,5
"Orbital area, ventrolateral part",PIR UL,0.0361204147339,0.0,1
Primary auditory area,L4/5 IT,0.0361121927653,0.000562424395292,2313
"Primary somatosensory area, mouth",RSP/ACA ML,0.0360987285773,0.026212679708,3
Ventral auditory area,ENT ML,0.036066558626,0.00968023793928,9
Anterior area,L2/3 IT,0.0360302967652,0.00069306107116,1324
Perirhinal area,ENT UL,0.0360109210014,0.00145002277862,68
Rostrolateral visual area,L6b/CT,0.0358716249466,0.00772531315711,4
"Primary somatosensory area, lower limb",L6 CT,0.0358119489064,0.000801309277464,1145
Rostrolateral visual area,L2/3 IT,0.0358014589589,0.000873997502476,1028
"Retrosplenial area, ventral part",RSP/ACA ML,0.0357733073021,0.000311210589347,3020
"Retrosplenial area, ventral part",L5 ET,0.0356899209821,0.000574381190218,937
"Agranular insular area, posterior part",L6 CT,0.0356600679457,0.00430583777166,40
Posterolateral visual area,ENT UL,0.035556901585,0.00318594109585,11
Temporal association areas,L2/3 IT,0.0355488713537,0.000671295580042,1461
Supplemental somatosensory area,COA,0.0355386734009,0.0,1
"Anterior cingulate area, ventral part",ENT DL,0.0355349268232,0.00160052649813,91
Anterior area,L4/5 IT,0.0355010595434,0.000913402843161,869
"Anterior cingulate area, dorsal part",L6b,0.035418034573,0.00153589824657,245
Rostrolateral visual area,Car3,0.0353898120963,0.00995860075464,23
Primary auditory area,HIP CA3,0.035304248333,0.0020902612204,8
Cortical subplate,L6 IT,0.0352152511477,0.00270031370495,48
Ectorhinal area,BA,0.0351586341858,0.0,1
"Primary somatosensory area, trunk",L2/3 IT,0.0351192439809,0.000564405810767,1630
"Primary somatosensory area, lower limb",L5 ET,0.0351043425411,0.00106564594997,415
Posterolateral visual area,L6 CT,0.0350833531667,0.00164363080493,169
Gustatory areas,PPP,0.0350661277771,0.0,1
"Orbital area, lateral part",L6 IT,0.0350343679127,0.00651085041279,19
Infralimbic area,L2/3 IT,0.0349920121106,0.00370623011824,22
Ventral auditory area,Unclear,0.0349736213684,0.0,1
Secondary motor area,L5 ET,0.0349651523751,0.000629473261894,894
Supplemental somatosensory area,Car3,0.0349446585009,0.000554251193312,2174
Secondary motor area,ENT ML,0.0348939983933,0.00314422564527,27
Primary auditory area,L2/3 IT,0.0348217018443,0.000584639803124,1493
Temporal association areas,Car3,0.0348113866343,0.000933530999636,602
Primary motor area,PPP,0.0348046183586,0.0059022028807,5
Ectorhinal area,ENT UL,0.0347514152527,0.00376541225996,8
"Retrosplenial area, dorsal part",EPd,0.0347254574299,0.00524595131693,8
Anterior area,L5 IT,0.034712333106,0.00140385154635,443
Perirhinal area,L2/3 IT,0.034698564247,0.00123068750282,179
Postrhinal area,L6 CT,0.0346856174655,0.00153230964083,244
"Anterior cingulate area, dorsal part",L5 ET,0.0346613606042,0.000800796957045,531
Primary motor area,RSP/ACA UL,0.0346571087837,0.0118101062842,10
"Primary somatosensory area, nose",L5 IT,0.034623331788,0.00104757479344,377
Supplemental somatosensory area,ENT L6b,0.0345789591471,0.00631698387747,3
"Primary somatosensory area, lower limb",L2/3 IT,0.0345393969602,0.000605936269175,1643
Ectorhinal area,PIR UL,0.0345237851143,0.00894146421174,9
Posterolateral visual area,PPP,0.0345206280467,0.00078668728573,241
Posterolateral visual area,ENT ML,0.0345144368507,0.00325337814955,37
"Agranular insular area, posterior part",COA,0.0345053225756,0.00401350661572,16
Temporal association areas,L4/5 IT,0.0344666167521,0.000829862222217,910
"Primary somatosensory area, trunk",Unclear,0.0344201564789,0.00729378708436,5
Anteromedial visual area,BLA/BMA/PA,0.0343055725098,0.000136852264404,2
posteromedial visual area,L2/3 IT,0.0342759591435,0.00106733242861,764
Cortical subplate,L6b,0.0342196716982,0.00499671383929,17
"Agranular insular area, ventral part",Low quality,0.0341899837217,0.00519351111723,31
Primary auditory area,L6b,0.0341742316197,0.00187386959404,174
Temporal association areas,Unclear,0.034171640873,0.0176063042701,4
Posterolateral visual area,NP PPP/RSP,0.0341439247131,0.0158848762512,2
"Retrosplenial area, lateral agranular part",Car3,0.0340990066528,0.00649144050849,10
Secondary motor area,ENT DL,0.0340418368578,0.00355153046247,24
Laterointermediate area,L4/5 IT,0.0340412908734,0.00151373994956,406
"Primary somatosensory area, mouth",L6 CT,0.033971759689,0.000600762361029,2803
"Agranular insular area, ventral part",TR,0.0339676274194,0.0063669013041,9
Posterolateral visual area,L5 IT,0.0339597018797,0.00224961321819,67
"Anterior cingulate area, ventral part",L6 CT,0.0339413900105,0.00107483381247,317
Supplemental somatosensory area,ENT ML,0.033931303592,0.00842342162505,21
Primary auditory area,ENT ML,0.0338941459303,0.00397153760009,27
Prelimbic area,BLAa,0.0338592529297,0.0,1
"Retrosplenial area, dorsal part",L6b/CT,0.0338486194611,0.00461722731608,20
Primary visual area,L4/5 IT,0.0338293377209,0.000345621767858,5682
Posterolateral visual area,Car3,0.0338054136796,0.00395408092075,22
Anterolateral visual area,L2/3 IT,0.0338022274303,0.00100139392042,910
"Primary somatosensory area, barrel field",EPd,0.0337597131729,0.01001883208,5
"Agranular insular area, ventral part",L5 IT,0.0337046821912,0.00469464352112,30
"Retrosplenial area, lateral agranular part",NA,0.0337045349781,0.00100278766477,1888
Temporal association areas,L6b/CT,0.0336752918616,0.0014524713398,306
"Retrosplenial area, dorsal part",PPP,0.0336713933945,0.00286703541686,50
"Agranular insular area, posterior part",ENT UL,0.0336670875549,0.0015664100647,2
"Anterior cingulate area, dorsal part",RSP/ACA ML,0.0336595338744,0.000839414057729,370
Temporal association areas,ENT ML,0.0336383951121,0.00414333375839,29
Anterolateral visual area,L4/5 IT,0.0336286403571,0.00115135552911,741
Supplemental somatosensory area,L6b/CT,0.0336131206581,0.00283427926007,105
"Retrosplenial area, lateral agranular part",PIR UL,0.033572695472,0.00576198372183,11
Ectorhinal area,L2/3 IT,0.0335585437233,0.000744671024061,695
Postrhinal area,ENT ML,0.0335268156473,0.00117481185523,172
Gustatory areas,L6 CT,0.0335166233056,0.00143587286949,264
"Primary somatosensory area, unassigned",Low quality,0.0335153688987,0.0117270974602,18
"Agranular insular area, posterior part",L4/5 IT,0.0335038988277,0.00124894903172,495
posteromedial visual area,PIR UL,0.03350348132,0.00713075056921,7
Temporal association areas,L6b,0.0334528918091,0.00189188611514,217
"Primary somatosensory area, lower limb",Low quality,0.0334370533625,0.0243214680384,3
Temporal association areas,TR,0.0334274768829,0.00627724490336,7
Perirhinal area,PIR UL,0.0334096082619,0.00655223605178,14
"Anterior cingulate area, ventral part",Unclear,0.0334010124207,0.0173964500427,2
Temporal association areas,BLAa,0.0333418607712,0.0143782091156,10
Ventral auditory area,L6 CT,0.0333290056715,0.00117098536311,316
Lateral visual area,NP PPP/RSP,0.0332870483398,0.00316190719604,2
Lateral visual area,PIR UL,0.0332786820152,0.00569576465161,11
"Anterior cingulate area, ventral part",RSP/ACA UL,0.033237992555,0.000707232414646,359
Dorsal auditory area,DGpo,0.0332329273224,0.00937104225159,2
Postrhinal area,TR,0.0332248955965,0.0194754396483,4
Posterior auditory area,ENT ML,0.0331885814667,0.0156171195701,3
Ventral auditory area,L6b/CT,0.033141090069,0.00125275172292,192
"Anterior cingulate area, ventral part",AON,0.033104300499,0.00328037887569,4
Temporal association areas,RSP/ACA UL,0.0330679416656,0.000853300094604,2
"Primary somatosensory area, barrel field",L6 CT,0.0330477001061,0.000452465562889,3368
"Primary somatosensory area, nose",L6 IT,0.0330417902435,0.000815656040157,901
Posterolateral visual area,ENT DL,0.0330111169323,0.00171321047691,97
