dataset,method,group_size,metric,mean,std,n_runs
combat,random_forest_cell_type_histogram,2,donor_majority_balanced_accuracy,0.34658119658119657,0.03927664989997972,4
combat,random_forest_cell_type_histogram,4,donor_majority_balanced_accuracy,0.34894586894586893,0.03809064601900546,5
combat,random_forest_cell_type_histogram,8,donor_majority_balanced_accuracy,0.41819088319088316,0.09631620248911821,5
combat,random_forest_cell_type_histogram,16,donor_majority_balanced_accuracy,0.39066951566951563,0.0799467714820533,5
combat,random_forest_cell_type_histogram,32,donor_majority_balanced_accuracy,0.42572649572649574,0.09687497864425877,5
combat,random_forest_cell_type_histogram,64,donor_majority_balanced_accuracy,0.47319088319088315,0.06392791577196878,5
combat,random_forest_cell_type_histogram,128,donor_majority_balanced_accuracy,0.4861538461538462,0.07655119098376022,5
combat,random_forest_cell_type_histogram,256,donor_majority_balanced_accuracy,0.5135042735042734,0.05324381595517024,5
combat,random_forest_cell_type_histogram,512,donor_majority_balanced_accuracy,0.5326566951566952,0.10099172358126039,6
combat,logistic_regression_cell_type_histogram,1,group_accuracy,0.4155450172886471,0.07219004352827965,5
combat,logistic_regression_cell_type_histogram,2,group_accuracy,0.3976343513761415,0.08372706714305224,4
combat,logistic_regression_cell_type_histogram,4,group_accuracy,0.3625060462461251,0.08386614835383818,6
combat,logistic_regression_cell_type_histogram,8,group_accuracy,0.4030887686290321,0.08463687063258253,6
combat,logistic_regression_cell_type_histogram,16,group_accuracy,0.5124521550149834,0.05643894703833702,6
combat,logistic_regression_cell_type_histogram,32,group_accuracy,0.5374285118987542,0.0680071398296935,7
combat,logistic_regression_cell_type_histogram,64,group_accuracy,0.555344336633649,0.03832471027871295,7
combat,logistic_regression_cell_type_histogram,128,group_accuracy,0.5368257896831886,0.059939141846462235,7
combat,logistic_regression_cell_type_histogram,256,group_accuracy,0.6036194209602702,0.08709593048065499,7
combat,logistic_regression_cell_type_histogram,512,group_accuracy,0.5480036414036055,0.129077063779186,8
combat,logistic_regression_cell_type_histogram,all,group_accuracy,0.6666666666666666,0.08856148855400951,6
combat,logistic_regression_cell_type_histogram,1,group_balanced_accuracy,0.3616944680833287,0.03587415615042719,5
combat,logistic_regression_cell_type_histogram,2,group_balanced_accuracy,0.3498542959720566,0.01913938882077512,4
combat,logistic_regression_cell_type_histogram,4,group_balanced_accuracy,0.36785530369554975,0.041070983238552544,5
combat,logistic_regression_cell_type_histogram,8,group_balanced_accuracy,0.41316158913942597,0.06331852798115215,5
combat,logistic_regression_cell_type_histogram,16,group_balanced_accuracy,0.44056241009063307,0.08035351789927696,5
combat,logistic_regression_cell_type_histogram,32,group_balanced_accuracy,0.46139575997388677,0.10025776684215913,5
combat,logistic_regression_cell_type_histogram,64,group_balanced_accuracy,0.4938149186078915,0.10001868688972815,5
combat,logistic_regression_cell_type_histogram,128,group_balanced_accuracy,0.5319271929593168,0.09987137089484245,5
combat,logistic_regression_cell_type_histogram,256,group_balanced_accuracy,0.5611745274671468,0.09133520004575713,5
combat,logistic_regression_cell_type_histogram,512,group_balanced_accuracy,0.5249797937695575,0.1624129062595166,6
combat,logistic_regression_cell_type_histogram,all,group_balanced_accuracy,0.6795405982905982,0.12399196464425542,4
combat,logistic_regression_cell_type_histogram,1,donor_majority_accuracy,0.49411764705882344,0.21045345670586252,5
combat,logistic_regression_cell_type_histogram,2,donor_majority_accuracy,0.4558823529411764,0.12126781251816648,4
combat,logistic_regression_cell_type_histogram,4,donor_majority_accuracy,0.4411764705882353,0.1379534047006891,6
combat,logistic_regression_cell_type_histogram,8,donor_majority_accuracy,0.5000000000000001,0.16109486985446062,6
combat,logistic_regression_cell_type_histogram,16,donor_majority_accuracy,0.5980392156862745,0.09424011639763075,6
combat,logistic_regression_cell_type_histogram,32,donor_majority_accuracy,0.6050420168067226,0.10585122480499266,7
combat,logistic_regression_cell_type_histogram,64,donor_majority_accuracy,0.6218487394957984,0.11190467426015792,7
combat,logistic_regression_cell_type_histogram,128,donor_majority_accuracy,0.6050420168067226,0.06545278120755141,7
combat,logistic_regression_cell_type_histogram,256,donor_majority_accuracy,0.6722689075630252,0.10662670202058418,7
combat,logistic_regression_cell_type_histogram,512,donor_majority_accuracy,0.5882352941176471,0.08318903308077032,8
combat,logistic_regression_cell_type_histogram,1,donor_majority_balanced_accuracy,0.45433455433455433,0.16154312213348643,5
combat,logistic_regression_cell_type_histogram,2,donor_majority_balanced_accuracy,0.36787749287749283,0.040095350270762324,4
combat,logistic_regression_cell_type_histogram,4,donor_majority_balanced_accuracy,0.3761396011396011,0.05898063814515,5
combat,logistic_regression_cell_type_histogram,8,donor_majority_balanced_accuracy,0.5289886039886039,0.13760952879698105,5
combat,logistic_regression_cell_type_histogram,16,donor_majority_balanced_accuracy,0.4154700854700855,0.16453779534905383,5
combat,logistic_regression_cell_type_histogram,32,donor_majority_balanced_accuracy,0.44541310541310536,0.1317925072275483,5
combat,logistic_regression_cell_type_histogram,64,donor_majority_balanced_accuracy,0.5186182336182336,0.1874770489710074,5
combat,logistic_regression_cell_type_histogram,128,donor_majority_balanced_accuracy,0.6120797720797719,0.14257308263260818,5
combat,logistic_regression_cell_type_histogram,256,donor_majority_balanced_accuracy,0.5765954415954416,0.15477989368296727,5
combat,logistic_regression_cell_type_histogram,512,donor_majority_balanced_accuracy,0.5204653371320038,0.14166867317742307,6
